SiteID,Node_osmid,Site_Lat,Site_Lon,Node_Lat,Node_Lon,Distance
69,661258,53.384781,-6.143031,53.3847911,-6.1430295,1.0210778622956245e-05
70,4836679335,53.33383461,-6.258650514,53.3338607,-6.2586193,4.068171452003755e-05
71,4238363,53.339541,-6.321016,53.3395244,-6.321039,2.836476687405869e-05
72,12382833167,53.362856,-6.236443,53.3627778,-6.2363907,9.407725548496017e-05
73,661474,53.3644,-6.229796,53.3643593,-6.2298176,4.607656671793036e-05
74,13128631,53.3666867,-6.2918802,53.3666783,-6.2920173,0.00013735708937040968
75,31015139,53.3410846,-6.2453144,53.3411514,-6.2453994,0.0001081075390522229
76,20299837,53.356808,-6.259113,53.3567871,-6.2591006,2.4301646037137306e-05
77,32334985,53.33728663,-6.234682657,53.3372202,-6.2346616,6.968746048974707e-05
78,12284657,53.39110787,-6.168162343,53.391103,-6.1676786,0.00048376751332465163
80,27398679,53.37400216,-6.24328512,53.3738774,-6.2432129,0.00014415542307351907
81,32336034,53.329514,-6.275594,53.3295075,-6.2755716,2.332402195276012e-05
82,59816067,53.32166648,-6.27912199,53.321685,-6.2793423,0.0002210870563827255
83,670950,53.326407,-6.278056,53.326329,-6.2781659,0.0001347665017736767
84,670957,53.3186632,-6.2789822,53.3185931,-6.2791574,0.00018870360357010676
85,32475584,53.33246616,-6.26831298,53.332465,-6.2683155,2.7741665428163433e-06
86,19192123,53.37546251,-6.194837575,53.3754716,-6.1948304,1.1580532154688907e-05
87,1422244146,53.3661254,-6.2235609,53.3660756,-6.2235634,4.986271151804782e-05
88,32436417,53.38039654,-6.17510658,53.3803393,-6.1750967,5.808641837483213e-05
90,11675288,53.37406085,-6.16458493,53.3740817,-6.1645798,2.1471828052992143e-05
91,12280645,53.39011898,-6.298183036,53.3901089,-6.2981675,1.851954902040083e-05
92,255237548,53.33958909,-6.223327707,53.3395859,-6.2233262,3.5280517233096054e-06
93,9836579988,53.33792415,-6.222511473,53.3379353,-6.2225102,1.1222434182182446e-05
94,3451120784,53.347604,-6.266148,53.3475458,-6.2661975,7.640346850572902e-05
95,7015213717,53.348808,-6.26667,53.3489664,-6.2675318,0.0008762361553834688
96,26414332,53.32533299,-6.30900425,53.3252879,-6.3088912,0.00012171035535288672
97,1430847042,53.319471,-6.290559,53.3194598,-6.2905503,1.4182030886800048e-05
98,1420114191,53.312106,-6.299684,53.3120679,-6.2996488,5.1871475782222815e-05
99,54819670,53.31374431,-6.309789782,53.3137871,-6.309687,0.00011133338952959951
100,55457278,53.31270554,-6.304874271,53.3128557,-6.3046166,0.00029823207379497024
101,25757797,53.3284819,-6.3437672,53.3286085,-6.3440249,0.0002871181812428988
101,25757797,53.3284819,-6.3437672,53.3286085,-6.3440249,0.0002871181812428988
102,658463,53.32636158,-6.250448524,53.3263304,-6.2504686,3.708420385508081e-05
103,1260858724,53.32822155,-6.245889419,53.3283253,-6.2461807,0.0003092065385162238
104,9100868,53.33192913,-6.252650507,53.3319196,-6.2526732,2.461286551779904e-05
105,307478674,53.3237,-6.341007,53.3237276,-6.3410178,2.963781368056379e-05
106,901716,53.35101882,-6.352857649,53.3510483,-6.3527215,0.00013930405809216794
107,389462,53.375512,-6.218754,53.3754956,-6.218782,3.244934513998455e-05
108,3646191127,53.368508,-6.22635,53.3685392,-6.2263944,5.426601146347412e-05
109,28850705,53.37992328,-6.210365073,53.3799382,-6.2103169,5.043058921926169e-05
110,240407604,53.389413,-6.197583,53.3893778,-6.1975106,8.050341607592805e-05
111,32335116,53.320518,-6.2155,53.3204578,-6.2154637,7.029743949805673e-05
112,12492534980,53.32880997,-6.230326103,53.3287406,-6.2302726,8.76057527152914e-05
113,638789813,53.31886422,-6.2129471,53.3189824,-6.2125601,0.00040464245007193125
114,32335103,53.3264971,-6.2244579,53.3265419,-6.224416,6.134044343217317e-05
115,659805,53.33814415,-6.253613155,53.3381471,-6.2536281,1.5233368800795141e-05
116,659803,53.33961878,-6.246438441,53.3395938,-6.2463552,8.690836830183154e-05
117,26414595,53.31067582,-6.248131342,53.3106572,-6.2481836,5.547614770307709e-05
118,389708,53.32511941,-6.24093233,53.3249213,-6.2407891,0.00024446350443322625
119,19080459,53.37184485,-6.266551795,53.3718443,-6.2665438,8.013895744282268e-06
120,662179,53.33766465,-6.240624394,53.3376736,-6.2405988,2.7113748100183925e-05
121,20299841,53.35739626,-6.25708867,53.3575331,-6.2570976,0.00013713107050899242
122,26866018,53.35485,-6.268734,53.3549074,-6.2686462,0.00010489804574139418
123,657360,53.323523,-6.260429202,53.3234704,-6.2603321,0.00011043350218272049
124,15853046,53.326971,-6.342872,53.3269512,-6.3428551,2.603171142776132e-05
125,6303849,53.36492,-6.308256,53.3649203,-6.3082695,1.3503332921656807e-05
126,1573119429,53.341537,-6.27226,53.3414873,-6.272219,6.442895312323286e-05
127,659686,53.36072191,-6.275144249,53.3607759,-6.2751154,6.121425406547165e-05
128,1294904418,53.3592327,-6.258753173,53.3592049,-6.2586973,6.24069878209832e-05
129,1419098342,53.35837321,-6.254626873,53.3583879,-6.2545955,3.464189990226753e-05
130,117707333,53.35219,-6.29808,53.3521999,-6.2980982,2.0718349356421187e-05
131,31935965,53.3899657,-6.301263742,53.3899792,-6.3010383,0.00022584584424751504
132,389503,53.360634,-6.23904,53.3606157,-6.2390322,1.9892963580976313e-05
133,32335036,53.336146,-6.238152,53.3361423,-6.238135,1.7397988390181203e-05
134,1261227677,53.332259,-6.235354,53.3323049,-6.2354082,7.10242916168836e-05
136,43314838,53.30694851,-6.269834935,53.3069672,-6.2696964,0.00013979006518814843
137,665856,53.32085621,-6.2595681,53.3208046,-6.2595365,6.051571779276612e-05
138,9800236714,53.348199,-6.295636,53.3481787,-6.2961472,0.0005116029026502464
139,32336040,53.3304292,-6.2840455,53.330511,-6.2840747,8.68555122060725e-05
140,3260618602,53.35442851,-6.263430138,53.3544599,-6.2634527,3.865715902943988e-05
141,710547269,53.354212,-6.256897,53.3542062,-6.2568923,7.4652528402607595e-06
142,389304,53.33885189,-6.272633191,53.3389329,-6.2726872,9.736319726373937e-05
143,31015134,53.343188,-6.244578,53.343179,-6.2445638,1.6811900546057063e-05
144,1346905,53.342762,-6.241147,53.3427487,-6.2411502,1.3679546775270018e-05
145,1422254055,53.34351786,-6.246392619,53.3435328,-6.2464059,1.9989711378586522e-05
146,1426100583,53.34413,-6.249295,53.3441081,-6.2492761,2.8927841260536005e-05
147,355146355,53.32949201,-6.232952178,53.3297843,-6.2328526,0.00030878669366137657
148,11675387,53.36253281,-6.272693223,53.3625327,-6.2726884,4.8242542430337575e-06
149,659687,53.36078483,-6.272678945,53.3607926,-6.2726879,1.1856007973026571e-05
150,18896384,53.36462639,-6.271783924,53.3646389,-6.2717705,1.8349492530665788e-05
151,11675220,53.357216,-6.288761,53.3572173,-6.288812,5.1016565937006406e-05
152,12640083,53.346386,-6.280432,53.3461846,-6.2805081,0.00021529786343710034
153,450656588,53.3250988,-6.2546633,53.3250914,-6.2544602,0.00020323476572701053
155,671028,53.31189783,-6.274611236,53.3119159,-6.2745882,2.9277674021454648e-05
156,666731,53.3173303,-6.2704275,53.317207,-6.2704602,0.00012756245528988867
157,29396438,53.32994997,-6.264278678,53.3299501,-6.2642883,9.62287815511386e-06
158,560602858,53.322264,-6.265737,53.3220983,-6.2657518,0.0001663596405348784
159,666674,53.31326375,-6.263354994,53.3132459,-6.2631653,0.00019053198192454994
160,30979529,53.3415926,-6.23170508,53.3415125,-6.2314177,0.00029833416565990445
161,661455,53.3751504,-6.196310393,53.374817,-6.1975958,0.0013279407801746687
162,12867448,53.3782629,-6.2651203,53.3786365,-6.2652477,0.00039472486620037927
163,658429,53.33611851,-6.257122178,53.3361445,-6.2572592,0.00013946508016038746
164,4009885977,53.33759778,-6.262615281,53.3376441,-6.2626064,4.7163699606772764e-05
165,565672558,53.31857895,-6.241455135,53.3185129,-6.2414186,7.548118126454056e-05
166,20447270,53.353031,-6.256035,53.3530263,-6.2560402,7.009279562539079e-06
167,1426821217,53.33373357,-6.231796775,53.3338549,-6.2318692,0.00014130233375541997
168,31095511,53.35023375,-6.235016063,53.3502136,-6.2350226,2.1183835091478418e-05
170,32475555,53.331516,-6.283627,53.3315146,-6.2836477,2.074728897998896e-05
171,12784893,53.34061163,-6.307669767,53.3406317,-6.3076594,2.258936894199832e-05
172,26914400,53.34396656,-6.308244467,53.3440209,-6.3080469,0.00020490377031368045
173,26165126,53.3414693,-6.26539315,53.3414822,-6.2653904,1.318986353381032e-05
174,7015624035,53.31919269,-6.23208783,53.3191805,-6.2320281,6.0961208977692235e-05
175,2455590523,53.31365381,-6.22239235,53.313567,-6.2224426,0.000100304728701386
176,32336196,53.33650654,-6.30623025,53.3364918,-6.3061506,8.100240798971629e-05
177,1410013998,53.32568685,-6.29661575,53.325765,-6.296767,0.00017024683550671016
